,action
2998,8
2999,8
3000,2
3001,7
3002,4
3003,4
3004,4
3005,7
3006,7
3007,7
3008,2
3009,2
3010,2
3011,2
3012,2
3013,2
3014,2
3015,2
3016,2
3017,2
3018,2
3019,2
3020,2
3021,2
3022,2
3023,2
3024,2
3025,2
3026,2
3027,2
3028,4
3029,2
3030,4
3031,4
3032,2
3033,2
3034,2
3035,2
3036,2
3037,2
3038,2
3039,2
3040,5
3041,1
3042,5
3043,2
3044,2
3045,2
3046,2
3047,2
3048,5
3049,5
3050,2
3051,2
3052,6
3053,6
3054,6
3055,6
3056,6
3057,6
3058,6
3059,6
3060,6
3061,6
3062,6
3063,6
3064,2
3065,2
3066,2
3067,6
3068,1
3069,1
3070,1
3071,6
3072,1
3073,1
3074,1
3075,1
3076,1
3077,1
3078,4
3079,4
3080,1
3081,1
3082,1
3083,4
3084,4
3085,8
3086,8
3087,8
3088,8
3089,4
3090,1
3091,1
3092,1
3093,4
3094,1
3095,1
3096,2
3097,2
3098,2
3099,2
3100,2
3101,2
3102,2
3103,2
3104,6
3105,2
3106,2
3107,8
3108,4
3109,1
3110,4
3111,4
3112,4
3113,4
3114,4
3115,4
3116,4
3117,4
3118,8
3119,8
3120,8
3121,8
3122,1
3123,1
3124,1
3125,4
3126,1
3127,8
3128,4
3129,4
3130,8
3131,8
3132,8
3133,8
3134,8
3135,8
3136,8
3137,8
3138,8
3139,8
3140,8
3141,8
3142,8
3143,8
3144,8
3145,8
3146,8
3147,8
3148,8
3149,4
3150,8
3151,8
3152,8
3153,8
3154,8
3155,8
3156,8
3157,8
3158,8
3159,8
3160,2
3161,2
3162,8
3163,8
3164,8
3165,2
3166,3
3167,3
3168,1
3169,3
3170,3
3171,3
3172,3
3173,3
3174,1
3175,1
3176,2
3177,2
3178,2
3179,7
3180,2
3181,2
3182,7
3183,7
3184,7
3185,7
3186,7
3187,7
3188,7
3189,7
3190,7
3191,7
3192,7
3193,2
3194,2
3195,2
3196,7
3197,7
3198,7
3199,7
3200,7
3201,2
3202,2
3203,8
3204,8
3205,8
3206,3
3207,3
3208,8
3209,8
3210,3
3211,3
3212,8
3213,8
3214,3
3215,3
3216,8
3217,8
3218,8
3219,3
3220,8
3221,8
3222,3
3223,3
3224,8
3225,8
3226,3
3227,3
3228,8
3229,8
3230,3
3231,3
3232,8
3233,8
3234,8
3235,4
3236,4
3237,4
3238,4
3239,0
3240,4
3241,4
3242,4
3243,4
3244,4
3245,2
3246,4
3247,0
3248,8
3249,8
3250,8
3251,8
3252,8
3253,3
3254,0
3255,0
3256,8
3257,8
3258,8
3259,8
3260,8
3261,8
3262,8
3263,8
3264,8
3265,8
3266,8
3267,8
3268,8
3269,3
3270,8
3271,1
3272,1
3273,1
3274,1
3275,1
3276,1
3277,2
3278,2
3279,1
3280,1
3281,2
3282,1
3283,1
3284,5
3285,5
3286,1
3287,1
3288,1
3289,1
3290,1
3291,1
3292,1
3293,1
3294,1
3295,1
3296,1
3297,1
3298,1
3299,1
3300,1
3301,1
3302,1
3303,1
3304,1
3305,1
3306,1
3307,1
3308,1
3309,1
3310,1
3311,1
3312,1
3313,2
3314,6
3315,6
3316,6
3317,6
3318,6
3319,6
3320,6
3321,6
3322,6
3323,6
3324,6
3325,6
3326,6
3327,4
3328,7
3329,7
3330,4
3331,4
3332,7
3333,4
3334,6
3335,3
3336,7
3337,7
3338,3
3339,7
3340,7
3341,7
3342,7
3343,7
3344,7
3345,2
3346,6
3347,2
3348,6
3349,6
3350,7
3351,7
3352,6
3353,2
3354,4
3355,2
3356,3
3357,7
3358,7
3359,7
3360,7
3361,7
3362,7
3363,7
3364,7
3365,7
3366,7
3367,2
3368,2
3369,2
3370,7
3371,7
3372,7
3373,7
3374,2
3375,7
3376,4
3377,4
3378,2
3379,2
3380,2
3381,2
3382,2
3383,2
3384,7
3385,7
3386,7
3387,7
3388,7
3389,7
3390,7
3391,7
3392,7
3393,7
3394,7
3395,7
3396,7
3397,7
3398,7
3399,7
3400,7
3401,7
3402,7
3403,7
3404,7
3405,7
3406,7
3407,7
3408,7
3409,7
3410,6
3411,6
3412,6
3413,6
3414,6
3415,6
3416,7
3417,6
3418,2
3419,7
3420,7
3421,7
3422,7
3423,7
3424,7
3425,7
3426,3
3427,3
3428,7
3429,4
3430,4
3431,4
3432,6
3433,4
3434,7
3435,6
3436,6
3437,7
3438,7
3439,6
3440,6
3441,7
3442,8
3443,8
3444,7
3445,7
3446,6
3447,7
3448,7
3449,6
3450,6
3451,7
3452,7
3453,1
3454,7
3455,7
3456,7
3457,7
3458,7
3459,7
3460,7
3461,7
3462,7
3463,7
3464,7
3465,7
3466,6
3467,8
3468,7
3469,7
3470,7
3471,6
3472,7
3473,7
3474,8
3475,7
3476,3
3477,8
3478,8
3479,7
3480,7
3481,7
3482,7
3483,7
3484,7
3485,7
3486,7
3487,7
3488,7
3489,4
3490,8
3491,8
3492,2
3493,2
3494,2
3495,7
3496,4
3497,3
3498,3
3499,3
3500,7
3501,7
3502,4
3503,7
3504,8
3505,3
3506,3
3507,3
3508,3
3509,3
3510,3
3511,3
3512,3
3513,3
3514,3
3515,3
3516,3
3517,7
3518,3
3519,3
3520,3
3521,3
3522,3
3523,3
3524,3
3525,3
3526,7
3527,7
3528,7
3529,7
3530,7
3531,4
3532,4
3533,4
3534,4
3535,4
3536,4
3537,5
3538,1
3539,1
3540,1
3541,6
3542,6
3543,6
3544,6
3545,7
3546,7
3547,7
3548,7
3549,7
3550,7
3551,7
3552,7
3553,7
3554,7
3555,5
3556,1
3557,2
3558,2
3559,8
3560,8
3561,2
3562,8
3563,8
3564,8
3565,8
3566,0
3567,8
3568,6
3569,6
3570,6
3571,6
3572,6
3573,1
3574,6
3575,6
3576,6
3577,2
3578,2
3579,7
3580,8
3581,8
3582,8
3583,8
3584,8
3585,6
3586,6
3587,1
3588,1
3589,2
3590,2
3591,7
3592,7
3593,7
3594,7
3595,7
3596,7
3597,8
3598,8
3599,8
3600,8
3601,6
3602,6
3603,2
3604,6
3605,4
3606,2
3607,2
3608,7
3609,7
3610,7
3611,7
3612,8
3613,8
3614,8
3615,7
3616,7
3617,7
3618,8
3619,7
3620,7
3621,8
3622,7
3623,7
3624,7
3625,2
3626,2
3627,2
3628,5
3629,5
3630,7
3631,7
3632,7
3633,7
3634,7
3635,7
3636,7
3637,7
3638,7
3639,4
3640,4
3641,4
3642,4
3643,4
3644,4
3645,4
3646,4
3647,4
3648,4
3649,7
3650,7
3651,7
3652,7
3653,2
3654,7
3655,7
3656,7
3657,2
3658,7
3659,7
3660,7
3661,7
3662,3
3663,7
3664,7
3665,7
3666,3
3667,7
3668,7
3669,2
3670,7
3671,7
3672,7
3673,2
3674,7
3675,7
3676,7
3677,7
3678,3
3679,1
3680,6
3681,1
3682,1
3683,6
3684,6
3685,8
3686,3
3687,8
3688,8
3689,3
3690,4
3691,7
3692,6
3693,7
3694,7
3695,7
3696,7
3697,7
3698,7
3699,1
3700,7
3701,1
3702,6
3703,6
3704,6
3705,6
3706,7
3707,6
3708,6
3709,8
3710,8
3711,7
3712,7
3713,7
3714,8
3715,7
3716,2
3717,8
3718,8
3719,8
3720,8
3721,8
3722,8
3723,7
3724,8
3725,8
3726,7
3727,7
3728,7
3729,7
3730,7
3731,7
3732,7
3733,8
3734,7
3735,7
3736,7
3737,7
3738,7
3739,7
3740,7
3741,7
3742,7
3743,7
3744,6
3745,2
3746,8
3747,7
3748,7
3749,7
3750,7
3751,7
3752,7
3753,7
3754,7
3755,7
3756,7
3757,7
3758,2
3759,7
3760,7
3761,7
3762,7
3763,7
3764,7
3765,7
3766,8
3767,7
3768,5
3769,7
3770,7
3771,7
3772,7
3773,7
3774,7
3775,7
3776,7
3777,7
3778,5
3779,5
3780,5
3781,7
3782,7
3783,7
3784,7
3785,7
3786,7
3787,7
3788,7
3789,7
3790,7
3791,7
3792,7
3793,7
3794,7
3795,7
3796,2
3797,2
3798,2
3799,7
3800,5
3801,7
3802,7
3803,2
3804,6
3805,6
3806,2
3807,2
3808,2
3809,5
3810,5
3811,1
3812,5
3813,4
3814,4
3815,6
3816,6
3817,6
3818,6
3819,6
3820,6
3821,6
3822,6
3823,4
3824,6
3825,6
3826,6
3827,4
3828,4
3829,4
3830,4
3831,4
3832,4
3833,4
3834,4
3835,4
3836,4
3837,6
3838,2
3839,2
3840,2
3841,3
3842,3
3843,8
3844,8
3845,8
3846,8
3847,8
3848,8
3849,4
3850,4
3851,8
3852,4
3853,4
3854,4
3855,4
3856,4
3857,4
3858,7
3859,7
3860,7
3861,7
3862,7
3863,8
3864,7
3865,7
3866,7
3867,8
3868,4
3869,0
3870,8
3871,8
3872,8
3873,8
3874,8
3875,8
3876,8
3877,8
3878,8
3879,8
3880,8
3881,8
3882,8
3883,8
3884,8
3885,8
3886,8
3887,8
3888,1
3889,1
3890,1
3891,1
3892,1
3893,1
3894,1
3895,2
3896,2
3897,2
3898,2
3899,2
3900,5
3901,2
3902,2
3903,1
3904,6
3905,6
3906,6
3907,0
3908,0
3909,0
3910,1
3911,1
3912,2
3913,2
3914,2
3915,1
3916,1
3917,1
3918,1
3919,1
3920,1
3921,1
3922,2
3923,2
3924,5
3925,5
3926,6
3927,6
3928,6
3929,6
3930,6
3931,6
3932,6
3933,6
3934,6
3935,6
3936,6
3937,6
3938,6
3939,6
3940,6
3941,6
3942,6
3943,6
3944,6
3945,7
3946,7
3947,7
3948,7
3949,7
3950,7
3951,7
3952,7
3953,7
3954,7
3955,7
3956,7
3957,7
3958,7
3959,7
3960,7
3961,7
3962,7
3963,7
3964,7
3965,7
3966,7
3967,7
3968,7
3969,7
3970,7
3971,7
3972,7
3973,7
3974,7
3975,7
3976,7
3977,7
3978,7
3979,7
3980,7
3981,7
3982,7
3983,7
3984,7
3985,7
3986,7
3987,7
3988,7
3989,7
3990,7
3991,7
3992,7
3993,7
3994,7
3995,7
3996,7
3997,7
3998,7
3999,7
4000,7
4001,7
4002,7
4003,7
4004,7
4005,7
4006,7
4007,7
4008,7
4009,7
4010,7
4011,7
4012,7
4013,7
4014,7
4015,7
4016,7
4017,7
4018,7
4019,7
4020,7
4021,7
4022,7
4023,7
4024,7
4025,7
4026,7
4027,7
4028,7
4029,7
4030,7
4031,7
4032,7
4033,7
4034,7
4035,7
4036,7
4037,7
4038,7
4039,5
4040,5
4041,7
4042,7
4043,7
4044,7
4045,7
4046,7
4047,7
4048,7
4049,7
4050,7
4051,7
4052,7
4053,7
4054,7
4055,5
4056,7
4057,7
4058,7
4059,7
4060,7
4061,7
4062,7
4063,5
4064,7
4065,7
4066,7
4067,7
4068,7
4069,7
4070,7
4071,7
4072,7
4073,7
4074,7
4075,7
4076,7
4077,5
4078,5
4079,5
4080,7
4081,5
4082,5
4083,7
4084,7
4085,7
4086,5
4087,5
4088,5
4089,7
4090,7
4091,7
4092,7
4093,7
4094,7
4095,7
4096,7
4097,7
4098,7
4099,7
4100,7
4101,7
4102,7
4103,5
4104,7
4105,5
4106,5
4107,5
4108,7
4109,7
4110,7
4111,7
4112,7
4113,5
4114,5
4115,5
4116,5
4117,5
4118,5
4119,5
4120,7
4121,5
4122,5
4123,5
4124,5
4125,7
4126,7
4127,7
4128,5
4129,5
4130,5
4131,5
4132,5
4133,5
4134,5
4135,5
4136,5
4137,5
4138,5
4139,5
4140,5
4141,5
4142,5
4143,5
4144,5
4145,5
4146,5
4147,5
4148,5
4149,5
4150,5
4151,5
4152,5
4153,5
4154,5
4155,5
4156,5
4157,5
4158,5
4159,5
4160,5
4161,5
4162,5
4163,5
4164,5
4165,5
4166,5
4167,5
4168,5
4169,5
4170,5
4171,5
4172,5
4173,5
4174,5
4175,5
4176,5
4177,5
4178,5
4179,5
4180,5
4181,5
4182,5
4183,5
4184,5
4185,5
4186,5
4187,5
4188,5
4189,5
4190,5
4191,5
4192,5
4193,5
4194,5
4195,5
4196,5
4197,2
4198,5
4199,5
4200,5
4201,5
4202,5
4203,5
4204,5
4205,5
4206,5
4207,5
4208,5
4209,5
4210,5
4211,5
4212,5
4213,5
4214,5
4215,5
4216,5
4217,5
4218,5
4219,5
4220,5
4221,5
4222,5
4223,5
4224,5
4225,5
4226,5
4227,5
4228,5
4229,5
4230,5
4231,5
4232,5
4233,5
4234,5
4235,5
4236,5
4237,5
4238,5
4239,5
4240,5
4241,5
4242,5
4243,5
4244,5
4245,5
4246,5
4247,5
4248,5
4249,5
4250,5
4251,5
4252,5
4253,5
4254,5
4255,5
4256,5
4257,5
4258,5
4259,5
4260,5
4261,5
4262,5
4263,5
4264,5
4265,5
4266,5
4267,5
4268,5
4269,5
4270,5
4271,5
4272,5
4273,5
4274,5
4275,5
4276,5
4277,5
4278,5
4279,5
4280,5
4281,5
4282,5
4283,5
4284,5
4285,5
4286,5
4287,5
4288,5
4289,5
4290,5
4291,5
4292,5
4293,5
4294,5
4295,5
4296,5
4297,5
4298,5
4299,5
4300,5
4301,5
4302,5
4303,5
4304,5
4305,5
4306,5
4307,5
4308,5
4309,5
4310,5
4311,5
4312,5
4313,5
4314,5
4315,5
4316,5
4317,5
4318,5
4319,5
4320,5
4321,5
4322,5
4323,5
4324,5
4325,5
4326,5
4327,5
4328,5
4329,5
4330,5
4331,5
4332,5
4333,5
4334,5
4335,5
4336,5
4337,5
4338,5
4339,5
4340,5
4341,5
4342,5
4343,5
4344,5
4345,5
4346,5
4347,5
4348,5
4349,5
4350,5
4351,5
4352,5
4353,5
4354,5
4355,5
4356,5
4357,5
4358,5
4359,5
4360,5
4361,5
4362,5
4363,5
4364,5
4365,5
4366,5
4367,5
4368,5
4369,5
4370,5
4371,5
4372,5
4373,5
4374,5
4375,5
4376,5
4377,5
4378,5
4379,5
4380,5
4381,5
4382,5
4383,5
4384,5
4385,5
4386,5
4387,5
4388,5
4389,5
4390,5
4391,5
4392,5
4393,5
4394,5
4395,5
4396,5
4397,5
4398,7
4399,7
4400,7
4401,7
4402,7
4403,7
4404,5
4405,5
4406,5
4407,5
4408,5
4409,5
4410,5
4411,5
4412,5
4413,5
4414,5
4415,5
4416,5
4417,5
4418,5
4419,5
4420,5
4421,7
4422,5
4423,5
4424,7
4425,7
4426,5
4427,5
4428,5
4429,5
4430,5
4431,5
4432,5
4433,5
4434,5
4435,5
4436,5
4437,5
4438,5
4439,5
4440,5
4441,5
4442,5
4443,5
4444,5
4445,5
4446,5
4447,5
4448,5
4449,5
4450,5
4451,5
4452,5
4453,5
4454,5
4455,5
4456,5
4457,1
4458,5
4459,5
4460,5
4461,5
4462,7
4463,7
4464,7
4465,7
4466,7
4467,7
4468,5
4469,5
4470,5
4471,5
4472,5
4473,5
4474,5
4475,5
4476,5
4477,5
4478,5
4479,5
4480,5
4481,5
4482,5
4483,5
4484,5
4485,5
4486,5
4487,5
4488,5
4489,5
4490,5
4491,5
4492,5
4493,5
4494,5
4495,5
4496,5
4497,5
4498,7
4499,5
4500,5
4501,5
4502,5
4503,5
4504,5
4505,5
4506,7
4507,7
4508,5
4509,5
4510,5
4511,5
4512,5
4513,5
4514,5
4515,5
4516,5
4517,5
4518,2
4519,5
4520,5
4521,5
4522,5
4523,5
4524,5
4525,5
4526,5
4527,5
4528,5
4529,5
4530,5
4531,5
4532,5
4533,5
4534,5
4535,5
4536,5
4537,5
4538,5
4539,5
4540,5
4541,5
4542,5
4543,5
4544,5
4545,5
4546,5
4547,5
4548,5
4549,5
4550,5
4551,5
4552,5
4553,2
4554,2
4555,2
4556,5
4557,5
4558,5
4559,5
4560,7
4561,5
4562,5
4563,5
4564,5
4565,5
4566,5
4567,5
4568,5
4569,5
4570,5
4571,5
4572,5
4573,5
4574,5
4575,5
4576,6
4577,6
4578,5
4579,5
4580,6
4581,6
4582,5
4583,5
4584,6
4585,6
4586,5
4587,5
4588,1
4589,6
4590,6
4591,5
4592,6
4593,6
4594,6
4595,6
4596,6
4597,6
4598,6
4599,6
4600,6
4601,6
4602,6
4603,6
4604,5
4605,5
4606,5
4607,6
4608,5
4609,5
4610,5
4611,5
4612,5
4613,6
4614,5
4615,6
4616,5
4617,5
4618,6
4619,5
4620,5
4621,6
4622,6
4623,5
4624,5
4625,6
4626,5
4627,5
4628,5
4629,6
4630,5
4631,5
4632,5
4633,5
4634,5
4635,5
4636,5
4637,5
4638,5
4639,5
4640,7
4641,5
4642,5
4643,5
4644,5
4645,5
4646,5
4647,5
4648,5
4649,5
4650,5
4651,5
4652,5
4653,5
4654,5
4655,5
4656,6
4657,5
4658,7
4659,6
4660,5
4661,6
4662,6
4663,6
4664,6
4665,6
4666,6
4667,6
4668,5
4669,5
4670,6
4671,6
4672,6
4673,5
4674,5
4675,6
4676,6
4677,6
4678,6
4679,5
4680,1
4681,1
4682,1
4683,7
4684,7
4685,7
4686,7
4687,7
4688,6
4689,6
4690,6
4691,6
4692,6
4693,4
4694,2
4695,7
4696,7
4697,7
4698,7
4699,7
4700,6
4701,6
4702,6
4703,6
4704,6
4705,6
4706,6
4707,6
4708,6
4709,5
4710,5
4711,5
4712,6
4713,6
4714,6
4715,6
4716,6
4717,6
4718,6
4719,6
4720,6
4721,6
4722,6
4723,6
4724,6
4725,4
4726,6
4727,6
4728,6
4729,5
4730,6
4731,6
4732,6
4733,4
4734,6
4735,6
4736,6
4737,6
4738,6
4739,6
4740,6
4741,6
4742,6
4743,6
4744,6
4745,6
4746,6
4747,6
4748,6
4749,6
4750,6
4751,6
4752,6
4753,6
4754,6
4755,6
4756,6
4757,6
4758,6
4759,6
4760,6
4761,6
4762,5
4763,6
4764,5
4765,5
4766,6
4767,7
4768,6
4769,6
4770,5
4771,6
4772,6
4773,5
4774,5
4775,6
4776,6
4777,5
4778,5
4779,5
4780,4
4781,4
4782,5
4783,5
4784,7
4785,5
4786,7
4787,7
4788,7
4789,6
4790,6
4791,6
4792,6
4793,6
4794,7
4795,6
4796,6
4797,6
4798,6
4799,7
4800,7
4801,7
4802,7
4803,6
4804,7
4805,5
4806,7
4807,6
4808,7
4809,7
4810,7
4811,7
4812,7
4813,6
4814,6
4815,7
4816,7
4817,7
4818,7
4819,7
4820,7
4821,7
4822,5
4823,5
4824,5
4825,5
4826,5
4827,5
4828,5
4829,5
4830,5
4831,5
4832,5
4833,5
4834,5
4835,5
4836,5
4837,5
4838,5
4839,5
4840,5
4841,5
4842,5
4843,5
4844,5
4845,5
4846,5
4847,5
4848,5
4849,5
4850,5
4851,5
4852,5
4853,7
4854,5
4855,5
4856,5
4857,5
4858,5
4859,5
4860,5
4861,5
4862,5
4863,5
4864,5
4865,5
4866,5
4867,5
4868,5
4869,5
4870,5
4871,5
4872,5
4873,5
4874,5
4875,5
4876,5
4877,5
4878,5
4879,5
4880,5
4881,5
4882,5
4883,5
4884,5
4885,5
4886,5
4887,5
4888,6
4889,7
4890,7
4891,7
4892,7
4893,5
4894,7
4895,6
4896,7
4897,7
4898,7
4899,7
4900,7
4901,7
4902,7
4903,5
4904,5
4905,5
4906,6
4907,6
4908,7
4909,6
4910,6
4911,6
4912,6
4913,6
4914,6
4915,5
4916,5
4917,5
4918,5
4919,5
4920,5
4921,7
4922,7
4923,7
4924,7
4925,6
4926,6
4927,7
4928,7
4929,6
4930,6
4931,7
4932,7
4933,6
4934,7
4935,7
4936,7
4937,6
4938,6
4939,7
4940,7
4941,7
4942,7
4943,7
4944,7
4945,7
4946,7
4947,7
4948,7
4949,6
4950,6
4951,6
4952,6
4953,6
4954,6
4955,6
4956,6
4957,6
4958,6
4959,7
4960,1
4961,1
4962,3
4963,6
4964,3
4965,8
4966,8
4967,8
4968,8
4969,8
4970,4
4971,8
4972,4
4973,0
4974,4
4975,4
4976,4
4977,4
4978,4
4979,7
4980,7
4981,4
4982,4
4983,4
4984,8
4985,8
4986,3
4987,7
4988,7
4989,7
4990,4
4991,4
4992,4
4993,4
4994,7
4995,7
4996,2
4997,2
4998,7
4999,7
5000,2
5001,7
5002,7
5003,7
5004,7
5005,7
5006,0
5007,7
5008,7
5009,7
5010,7
5011,7
5012,2
5013,5
5014,5
5015,1
5016,2
5017,7
5018,2
5019,1
5020,1
5021,1
5022,1
5023,1
5024,1
5025,1
5026,6
5027,6
5028,6
5029,6
5030,8
5031,6
5032,6
5033,6
5034,6
5035,6
5036,2
5037,2
5038,7
5039,7
5040,7
5041,1
5042,3
5043,3
5044,3
5045,8
5046,8
5047,8
5048,8
5049,8
5050,8
5051,8
5052,8
5053,8
5054,8
5055,8
5056,8
5057,8
5058,8
5059,8
5060,4
5061,8
5062,8
5063,8
5064,8
5065,8
5066,8
5067,8
5068,8
5069,8
5070,8
5071,8
5072,8
5073,8
5074,8
5075,8
5076,8
5077,8
5078,8
5079,8
5080,4
5081,4
5082,4
5083,4
5084,4
5085,4
5086,8
5087,8
5088,8
5089,8
5090,8
5091,8
5092,8
5093,8
5094,8
5095,8
5096,8
5097,8
5098,8
5099,8
5100,8
5101,8
5102,8
5103,8
5104,8
5105,8
5106,8
5107,8
5108,8
5109,8
5110,8
5111,8
5112,8
5113,8
5114,8
5115,8
5116,8
5117,8
5118,8
5119,8
5120,8
5121,8
5122,8
5123,8
5124,8
5125,8
5126,8
5127,8
5128,8
5129,8
5130,1
5131,1
5132,1
5133,1
5134,1
5135,2
5136,2
5137,8
5138,2
5139,2
5140,2
5141,2
5142,2
5143,1
5144,1
5145,1
5146,1
5147,1
5148,1
5149,1
5150,1
5151,1
5152,1
5153,1
5154,8
5155,2
5156,1
5157,1
5158,1
5159,1
5160,1
5161,1
5162,1
5163,6
5164,6
5165,6
5166,6
5167,6
5168,6
5169,6
5170,6
5171,6
5172,6
5173,6
5174,6
5175,6
5176,6
5177,6
5178,8
5179,8
5180,6
5181,6
5182,6
5183,6
5184,6
5185,6
5186,6
5187,0
5188,6
5189,1
5190,8
5191,8
5192,8
5193,8
5194,8
5195,8
5196,8
5197,8
5198,8
5199,8
5200,8
5201,8
5202,6
5203,6
5204,8
5205,8
5206,8
5207,8
5208,4
5209,4
5210,4
5211,6
5212,6
5213,6
5214,6
5215,6
5216,6
5217,6
5218,8
5219,6
5220,8
5221,6
5222,4
5223,6
5224,6
5225,6
5226,6
5227,6
5228,6
5229,6
5230,3
5231,2
5232,3
5233,3
5234,8
5235,8
5236,8
5237,8
5238,8
5239,3
5240,3
5241,3
5242,2
5243,4
5244,7
5245,7
5246,2
5247,2
5248,5
5249,5
5250,5
5251,5
5252,2
5253,4
5254,4
5255,2
5256,3
5257,3
5258,3
5259,3
5260,3
5261,3
5262,5
5263,5
5264,5
5265,4
5266,4
5267,4
5268,6
5269,6
5270,8
5271,8
5272,6
5273,6
5274,8
5275,8
5276,8
5277,8
5278,8
5279,8
5280,8
5281,8
5282,8
5283,8
5284,8
5285,2
5286,2
5287,2
5288,2
5289,2
5290,2
5291,2
5292,2
5293,2
5294,2
5295,3
5296,7
5297,3
5298,3
5299,3
5300,3
5301,3
5302,3
5303,3
5304,3
5305,3
5306,3
5307,3
5308,3
5309,3
5310,3
5311,3
5312,3
5313,3
5314,3
5315,3
5316,3
5317,3
5318,3
5319,3
5320,3
5321,3
5322,3
5323,3
5324,3
5325,6
5326,3
5327,3
5328,3
5329,3
5330,3
5331,3
5332,3
5333,3
5334,3
5335,3
5336,3
5337,8
5338,7
5339,7
5340,7
5341,7
5342,7
5343,7
5344,7
5345,7
5346,7
5347,7
5348,7
5349,5
5350,5
5351,5
5352,7
5353,7
5354,1
5355,7
5356,7
5357,7
5358,7
5359,8
5360,6
5361,8
5362,8
5363,8
5364,3
5365,3
5366,3
5367,3
5368,3
5369,3
5370,3
5371,3
5372,3
5373,3
5374,3
5375,3
5376,3
5377,3
5378,3
5379,5
5380,3
5381,7
5382,3
5383,4
5384,3
5385,3
5386,3
5387,3
5388,6
5389,3
5390,3
5391,7
5392,7
5393,7
5394,4
5395,3
5396,3
5397,3
5398,3
5399,3
5400,3
5401,3
5402,3
5403,3
5404,3
5405,3
5406,3
5407,3
5408,3
5409,3
5410,3
5411,3
5412,7
5413,7
5414,3
5415,3
5416,3
5417,7
5418,7
5419,3
5420,7
5421,7
5422,3
5423,5
5424,5
5425,3
5426,3
5427,3
5428,6
5429,1
5430,3
5431,3
5432,3
5433,3
5434,3
5435,8
5436,2
5437,2
5438,2
5439,2
5440,2
5441,2
5442,2
5443,2
5444,2
5445,2
5446,2
5447,3
5448,3
5449,5
5450,3
5451,3
5452,3
5453,3
5454,5
5455,5
5456,5
5457,7
5458,3
5459,3
5460,3
5461,3
5462,3
5463,3
5464,3
5465,3
5466,3
5467,3
5468,3
5469,3
5470,3
5471,3
5472,3
5473,3
5474,3
5475,3
5476,3
5477,3
5478,3
5479,3
5480,3
5481,3
5482,3
5483,3
5484,3
5485,3
5486,3
5487,8
5488,3
5489,8
5490,8
5491,8
5492,3
5493,8
5494,6
5495,6
5496,6
5497,6
5498,7
5499,6
5500,6
5501,6
5502,6
5503,6
5504,7
5505,7
5506,7
5507,7
5508,7
5509,4
5510,6
5511,4
5512,6
5513,6
5514,6
5515,6
5516,8
5517,6
5518,3
5519,6
5520,6
5521,6
5522,3
5523,3
5524,6
5525,3
5526,3
5527,3
5528,3
5529,3
5530,3
5531,3
5532,3
5533,3
5534,3
5535,3
5536,7
5537,7
5538,3
5539,3
5540,4
5541,3
5542,3
5543,4
5544,4
5545,4
5546,4
5547,6
5548,6
5549,3
5550,4
5551,7
5552,6
5553,7
5554,6
5555,6
5556,6
5557,3
5558,3
5559,7
5560,3
5561,3
5562,3
5563,7
5564,7
5565,2
5566,7
5567,1
5568,7
5569,7
5570,7
5571,7
5572,7
5573,7
5574,7
5575,7
5576,7
5577,7
5578,3
5579,3
5580,3
5581,4
5582,5
5583,4
5584,6
5585,4
5586,4
5587,6
5588,6
5589,6
5590,4
5591,1
5592,1
5593,1
5594,1
5595,1
5596,6
5597,8
5598,8
5599,7
5600,7
5601,2
5602,2
5603,1
5604,6
5605,8
5606,8
5607,8
5608,2
5609,5
5610,5
5611,5
5612,6
5613,6
5614,1
5615,1
5616,1
5617,1
5618,1
5619,1
5620,6
5621,1
5622,2
5623,1
5624,1
5625,1
5626,5
5627,5
5628,5
5629,2
5630,5
5631,7
5632,7
5633,7
5634,8
5635,8
5636,7
5637,7
5638,7
5639,7
5640,7
5641,7
5642,7
5643,2
5644,2
5645,7
5646,7
5647,7
5648,7
5649,7
5650,7
5651,7
5652,7
5653,7
5654,7
5655,5
5656,7
5657,7
5658,5
5659,5
5660,5
5661,7
5662,5
5663,5
5664,7
5665,1
5666,1
5667,1
5668,3
5669,3
5670,8
5671,8
5672,8
5673,8
5674,8
5675,4
5676,4
5677,4
5678,4
5679,7
5680,7
5681,4
5682,7
5683,7
5684,7
5685,7
5686,7
5687,7
5688,7
5689,4
5690,4
5691,4
5692,4
5693,7
5694,7
5695,7
5696,7
5697,7
5698,7
5699,7
5700,7
5701,7
5702,2
5703,2
5704,7
5705,7
5706,7
5707,4
5708,4
5709,4
5710,4
5711,7
5712,4
5713,4
5714,4
5715,4
5716,4
5717,4
5718,4
5719,4
5720,7
5721,4
5722,4
5723,4
5724,3
5725,6
5726,2
5727,4
5728,4
5729,4
5730,4
5731,4
5732,4
5733,4
5734,4
5735,4
5736,4
5737,4
5738,4
5739,4
5740,3
5741,0
5742,4
5743,4
5744,4
5745,4
5746,4
5747,0
5748,0
5749,7
5750,7
5751,7
5752,2
5753,4
5754,4
5755,4
5756,0
5757,0
5758,0
5759,0
5760,0
5761,0
5762,4
5763,4
5764,7
5765,7
5766,7
5767,0
5768,1
5769,0
5770,7
5771,0
5772,1
5773,1
5774,1
5775,1
5776,1
5777,1
5778,1
5779,1
5780,6
5781,6
5782,8
5783,8
5784,8
5785,8
5786,6
5787,6
5788,8
5789,2
5790,8
5791,8
5792,2
5793,8
5794,8
5795,2
5796,8
