,id,lastpage,seed,age,gender,gender[other],colorVision,experiencePacman,experienceAI,experienceAI2[1],experienceAI2[2],experienceAI2[3],experienceAI2[4],experienceAI2[5],experienceAI2[other],outcomeAI[1],randVideoSeed,randnumber,retrospectionClicks2,Intention2,retrospection2[1],retrospection2[2],retrospection2[3],retrospection2[4],retrospection2[5],retrospection2[6],RetrospectionConf2[predictConf1],RetrospectionExpl2,retrospectionClicks3,Intention3,retrospection3[1],retrospection3[2],retrospection3[3],retrospection3[4],retrospection3[5],retrospection3[6],RetrospectionConf3[predictConf1],RetrospectionExpl3,retrospectionClicks1,Intention1,retrospection1[1],retrospection1[2],retrospection1[3],retrospection1[4],retrospection1[5],retrospection1[6],RetrospectionConf1[predictConf1],RetrospectionExpl1,explSatisfaction1[1],explSatisfaction1[2],explSatisfaction1[3],explSatisfaction1[4],explSatisfaction1[5],explSatisfaction1[6],comment1,videoClicks2A,videoClicks2B,trustBool2,trustConfidence2[confidence1],trustExpl2,videoClicks3A,videoClicks3B,trustBool3,trustConfidence3[confidence1],trustExpl3,videoClicks1A,videoClicks1B,trustBool1,trustConfidence1[confidence1],trustExpl1,explSatisfaction2[1],explSatisfaction2[2],explSatisfaction2[3],explSatisfaction2[4],explSatisfaction2[5],explSatisfaction2[6],comment2,bonus,code,interviewtime,demographicsTime,retro2Time,retro3Time,retro1Time,trust2Time,trust3Time,trust1Time,retrospection1Points,retrospection1Goal,retrospection2Points,retrospection2Goal,retrospection3Points,retrospection3Goal,trust1correct,trust2correct,trust3correct
27,124,17,236530476,4.0,2.0,,0.0,4.0,0.0,,,,,,,5.0,5,2,1.0,Ate as many ghosts as possible,0.0,1.0,1.0,0.0,0.0,0.0,5.0,It didn't seem any different that the previous goal,2.0,Waited for ghost to get near the power pill to eat them,0.0,1.0,1.0,0.0,0.0,0.0,5.0,Because that is the goal,1.0,This one seems to go back and forth but not really accomplish much,0.0,1.0,1.0,0.0,0.0,0.0,5.0,This one seems more concerned with going back and forth than eating pills and ghosts,5.0,5.0,2.0,3.0,,,No,1.0,1.0,1.0,6.0,A seems better at clearing the bored and not making back and forth movements,1.0,1.0,1.0,6.0,A seems more effective,1.0,1.0,2.0,6.0,Accomplished eating more pills and ghosts,5.0,4.0,1.0,5.0,,,no,50.0,70ea227c,623.66,33.36,65.09,86.8,55.4,60.82,58.31,58.61,0.0,1.0,-1.0,0.0,-1.0,0.0,1,1,1
28,125,17,1443211561,3.0,1.0,,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0,5.0,5,1,1.0,pacman stayed away from danger,1.0,0.0,1.0,0.0,1.0,0.0,7.0,he stayed away,1.0,shielding factor.,1.0,0.0,0.0,1.0,0.0,0.0,7.0,the shield prevented them from coming out,1.0,powerup pill,1.0,1.0,1.0,0.0,0.0,0.0,7.0,the powerup pill helped,4.0,3.0,2.0,4.0,,,,-1.0,-1.0,1.0,5.0,he used the shielding rule,1.0,1.0,2.0,6.0,he used the power up rule,-1.0,-1.0,1.0,6.0,he avoided the elements,3.0,4.0,3.0,4.0,,,,40.0,67aa227b,448.52,24.0,84.74,73.99,46.18,17.09,49.97,12.54,1.0,1.0,1.5,1.0,2.0,1.0,0,1,0
29,126,17,434507198,4.0,2.0,,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0,4.0,7,1,1.0,The strategy of the AI seems to be to avoid the ghosts at all costs.,1.0,1.0,1.0,0.0,0.0,0.0,6.0,The power pills were never used to engage ghosts and it seemed like the AI just avoided them.,1.0,The AI seemed to halfway decide where it wanted to go on its own and then halfway wait and play off of the actions of the ghosts.,1.0,0.0,0.0,1.0,1.0,0.0,4.0,It's not like it preferred anything in particular but a lot of the times we see it sitting still which makes me feel like the ghost movement controlled how it moved.,2.0,The AI likes to play the edge and the corners of the map.,1.0,0.0,1.0,0.0,1.0,0.0,7.0,"In most of the scenes, the ghosts were blue meaning that it favored using power pills.",4.0,4.0,1.0,5.0,,,,1.0,1.0,1.0,7.0,Player B sits still in the corner too much and doesn't take advantage of scoring.  A actually plays the game.,1.0,1.0,2.0,6.0,B seems more aggressive and more likely to get things done while A doesn't move nearly as much.,1.0,1.0,1.0,7.0,"B died, spends time sitting still, and likes to travel already traveled territory a lot. ",4.0,5.0,2.0,5.0,,,,30.0,210ba227d,1807.7,34.11,622.59,127.49,131.08,240.9,102.58,69.53,1.0,1.0,0.0,0.0,3.0,1.0,0,1,0
30,127,17,1837403809,4.0,1.0,,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0,4.0,8,2,1.0,hard to tell. It seems more focused on ghost eating. ,0.0,0.0,0.0,0.0,1.0,0.0,4.0,It just appears that the agent only wants the ghost up to the point of it's own death. ,1.0,It seem mostly focused on getting pills and then eating ghost as they came near. ,0.0,1.0,0.0,0.0,1.0,0.0,6.0,Each scene showed the agent trying for pills but only ghost that were near.,2.0,Seems the stratgey is to get the power pill.,0.0,1.0,1.0,0.0,0.0,0.0,6.0,The video showed many different clips of the agent just going for pills then a single power pill.,4.0,3.0,1.0,4.0,,,Have a nice day!,1.0,1.0,2.0,6.0,Player B does not die. Player A does die at the end. ,1.0,1.0,1.0,6.0,Player A did not die. Player B dies at the very end. ,1.0,1.0,1.0,6.0,Player A seems more focused where Player b starts looking lost at the bottom with nothing to get. Player A seems driven to catch pills and ghost. ,4.0,3.0,1.0,4.0,,,,30.0,62ca227c,502.79,49.88,53.62,65.07,88.44,27.77,46.84,38.78,0.0,1.0,1.0,1.0,0.5,0.0,0,0,1
31,128,17,1652412399,2.0,1.0,,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3.0,8,1,1.0,Pretty similiar to the last AI. Avoiding ghosts and doing the best job as possible.,1.0,1.0,0.0,1.0,0.0,0.0,5.0,They were using pac man so that is one object that is really focused. They avoided ghosts and ate alot of rectangles.,1.0,This AI was focusing on eating alot of ghosts,1.0,0.0,1.0,1.0,0.0,0.0,6.0,This AI ate alot of power pills and ate alot of ghosts,2.0,To avoid ghosts and collect as many rectangles as possible,1.0,1.0,1.0,0.0,0.0,0.0,5.0,Based off what the AI went for it seemed like the most used objects.,4.0,4.0,4.0,3.0,,,,1.0,1.0,1.0,5.0,Player A ate alot more rectangles and destroyed more ghosts than player b,1.0,1.0,1.0,2.0,They both seemed to do a pretty good job so it is a hard choice but player A seemed a bit more effecient,1.0,1.0,1.0,6.0,Player B was running into alot of ghosts without eating the power pill. PLayer A was eating the ghosts.,4.0,3.0,3.0,3.0,,,,50.0,159da227c,814.22,48.8,144.99,64.25,122.34,47.87,59.68,60.61,1.0,1.0,0.0,0.0,1.5,1.0,0,1,1
32,129,17,1432055056,3.0,1.0,,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,4.0,5,4,1.0,Agent was just after the pills,0.0,1.0,0.0,0.0,0.0,0.0,3.0,I watched the video critically,3.0,It looks random,1.0,1.0,1.0,0.0,0.0,0.0,4.0,The agent was basically going after the pills,1.0,The agent was going after the normal pills,0.0,1.0,0.0,0.0,0.0,0.0,4.0,I watched the video critically,4.0,4.0,4.0,,4.0,4.0,,1.0,1.0,2.0,4.0,Player B was more cautious,0.0,0.0,1.0,5.0,Player A was more cautious,3.0,1.0,1.0,5.0,Player A was more cautious,4.0,3.0,4.0,,4.0,3.0,,10.0,39da227c,1057.81,42.76,85.2,216.33,235.32,36.48,22.74,99.54,-1.0,0.0,-0.5,0.0,0.0,0.0,0,0,1
33,130,17,593990547,4.0,1.0,,0.0,4.0,0.0,,,,,,,4.0,5,3,2.0,It focused on getting the power up pills.,0.0,0.0,1.0,0.0,1.0,0.0,5.0,I just watched the video and it seemed like it didn't care to clear an area it just wanted to get to the next power pill.,2.0,I think it was trying to actually get as many of the dots as possible and the blue ghosts. I think it was playing the game properly.,1.0,1.0,0.0,0.0,1.0,0.0,5.0,"The video seems to me like it was trying to play the game properly. Acquire pills, eat blue ghosts.",2.0,It seemed to be somewhat broken. It didn't seem to be trying to accomplish anything at all other than chasing the cherry I guess that might be a strategy.,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Just watching the video boss... It seemed to only care about the cherry.,2.0,2.0,3.0,,3.0,3.0,I couldn't really piece it together that well just from watching.,1.0,1.0,1.0,7.0,Player B seemed to be pretty lost.,3.0,2.0,2.0,1.0,Player B seemed to have a better performance but Player A seemed to have a better understanding of where the ghosts were. I am not fully sure on this one.,1.0,1.0,2.0,7.0,Player B seemed to have a better grasp of the mechanics.,2.0,3.0,2.0,,5.0,3.0,It's actually a little hard to know if you're seeing what you think you are without any feedback.,20.0,206da227d,1286.37,74.39,181.91,137.8,122.25,56.62,151.03,69.18,-1.0,0.0,0.5,1.0,1.5,0.0,1,1,0
36,133,17,705313840,3.0,2.0,,0.0,4.0,0.0,,,,,,,3.0,5,4,1.0,"The AI seemed to focus on high-points targets, like the blue ghosts and the cherries. It also seemed to be ""looking"" around more (more widespread green in the video).",1.0,0.0,0.0,0.0,1.0,1.0,4.0,"I noticed more widespread green in this video as compared to the others, so perhaps the AI was scanning a larger area for high-points items.",1.0,"This agent seemed to focus on the location of ghosts in order to get the power pills, transform the ghosts into blue ghosts, and then eat them. ",1.0,0.0,1.0,0.0,1.0,0.0,5.0,I noticed the AI in this video focused mostly on the ghosts rather than the normal pills.,2.0,The AI seems to focus on the power pills and then on the normal pills around them secondarily.,1.0,1.0,1.0,0.0,0.0,0.0,5.0,"I watched the video and focused on the green areas, and also noticed the different clips all revolving around obtaining the power pills.",4.0,3.0,4.0,,4.0,4.0,"I feel as though this came with somewhat of a learning curve, so I hope I was able to interpret the videos correctly. Thanks! :)",1.0,1.0,2.0,5.0,"Agent B seemed to focus on the large pills (sorry, I forget their exact name) more effectively than Agent A did.",1.0,1.0,2.0,6.0,"Agent B seemed to focus on the large pills more effectively than A, and A also moved a bit randomly in empty space at some points. B also managed to get the cherries.",1.0,1.0,1.0,5.0,"Agent A seemed to look (green shading) at relevant, closeby areas, while Agent B would often look far away, which felt irrelevant.",4.0,3.0,4.0,,4.0,3.0,"I feel a bit confused now by the green highlighting and watching it in each video--I don't know if I would prefer an AI that ""looked"" around more at the board, or focused more in a small area to accomplish a task.",10.0,22ea227c,1015.6,40.86,89.65,116.1,113.15,50.57,67.27,171.35,1.0,1.0,1.5,1.0,1.5,0.0,0,0,0
37,134,17,477505071,2.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,5.0,10,3,1.0,The Al agent was told to play the Pacman in which it played it very well ,1.0,1.0,0.0,1.0,0.0,0.0,6.0,It played on it so as to win and gain more points ,2.0,The AL agent strategically played the Pacman and the green green heatman shows how relevant will be the augment ,0.0,1.0,1.0,0.0,0.0,0.0,5.0,It was visible  and clear ,1.0,The Al made the patman blue and avoided the ghost ,0.0,0.0,1.0,1.0,0.0,0.0,5.0,The pacman ate the pills,1.0,1.0,1.0,,1.0,1.0,The information is not explanatory enough for understanding ,1.0,1.0,2.0,7.0,The Al agents knows and Did what was right ,1.0,1.0,2.0,6.0,The Al agent knows whats right to do and how to win ,1.0,1.0,1.0,6.0,It controls the pacman  well,4.0,5.0,4.0,,3.0,4.0,Great ,10.0,145ca227d,1920.02,122.84,209.1,223.76,266.6,218.58,87.22,71.23,0.0,1.0,0.0,0.0,-1.0,0.0,0,0,0
38,135,17,1465278508,4.0,2.0,,0.0,4.0,0.0,,,,,,,5.0,4,1,49.0,To eat power pellets and then eat the ghosts to get as many as possible in jail so they would be free to clear out the maze. ,1.0,0.0,1.0,0.0,1.0,0.0,5.0,I noticed that there were at least a couple ghosts gathering in ghost jail. There also seemed to be various sets of ghost eyes wandering around the maze.  I figured that the AI is probably going after the ghosts first to neutralize that threat. ,112.0,I think this Pac-Man is trying to clear out all the pills in all the corners first.,1.0,1.0,1.0,0.0,0.0,0.0,4.0,"I had to watch a while, but after a while I noticed, that his corners were emptying out before everything else. And he seemed to be waiting to collect the other pills toward the end. ",23.0,To eat the pills along the outer edges first and to get to all the power pills. ,1.0,1.0,1.0,0.0,0.0,0.0,5.0,"The pacman seemed to stay on the outer edges of the game. With each new scene it seemed like the power pills were disappearing quickly. PacMan exited the scene on one edge and reentered on the other, as if it wanted to remain only along the outer edges. And then it proceeded to eat pills mainly along the outer edges. ",4.0,3.0,3.0,4.0,,,,2.0,1.0,1.0,6.0,Player A has a defense strategy to hold off the ghosts. Player A seems to have found a way to clear more pills more quickly than Player B. Player B is almost out of Power Pills and is soon going to find themselves in a situation where they are trapped by a ghost. I think Player A has the better strategy.,14.0,2.0,2.0,7.0,"Player B seems to have a better strategy for attacking the ghosts and keeping them at bay, freeing up time to eat more pills. Player A doesn't seem to have much of a strategy for dealing with the ghosts. ",3.0,15.0,2.0,5.0,Player B cleared out a lot more pills than A had. Player A still had a lot of pills to collect and no Power Pills left. I think Player B had a slightly better strategy. ,4.0,4.0,3.0,4.0,,,,40.0,247ea227f,2965.05,76.76,708.49,608.13,408.63,183.02,162.97,250.34,1.0,1.0,1.5,1.0,0.0,0.0,1,1,0
39,136,17,1252980757,2.0,1.0,,0.0,2.0,0.0,,,,,,,6.0,1,3,2.0,"it seemed to focus greatly on the area directly in front of the pacman, and focus on the pellets.",1.0,1.0,0.0,0.0,0.0,0.0,7.0,It really liked to just go for them pellets man,1.0,It mainly appears to be attempting to maximize the pills while avoiding the ghosts a little. It doesn't seem to care about the power pills or the blue ghosts.,1.0,1.0,0.0,0.0,1.0,0.0,5.0,They were the objects that spent the most time being the most green,1.0,"They seem to really do the same thing each time. I think that they're focusing on the front area of the pacman and they look out for the ghosts a bit more this time, based on the fact that the whole area seems to have more tufts of green in it. ",1.0,1.0,0.0,1.0,0.0,0.0,5.0,Based on the greenness,3.0,2.0,4.0,,3.0,2.0, ,1.0,1.0,2.0,5.0,It just seemed to be focusing on more important things,1.0,1.0,1.0,4.0,They both just kind of feel similar? ,1.0,0.0,2.0,7.0,Player A just seemed dumb to be honest.,3.0,4.0,2.0,,3.0,3.0, ,30.0,158da227d,1551.35,14.45,53.21,263.57,815.55,98.27,44.8,32.57,-1.0,0.0,0.5,0.0,1.5,0.0,1,0,1
40,137,17,1382675841,3.0,1.0,,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,4.0,8,1,2.0,"The agent seemed to go for long stretches of pills first and was not thorough in eating all the pills. They also seemed to use the 4 power pills quite early, leaving them with fewer options later in the game. ",1.0,1.0,1.0,0.0,0.0,0.0,3.0,"The AI clearly wanted to go for long stretches of pills, as there were no long chains left, but didn't do back and thoroughly clean up the pills. They didn't seem very interested in eating ghosts, but did use the power pills quickly. ",3.0,The AI seemed focused on quickly getting the power pills and eating the blue ghosts. Even to the point where it seemed to ignore the cherries and put itself in danger to reach the blue ghosts.,0.0,0.0,1.0,0.0,1.0,0.0,5.0,"The power pills were quickly consumed in the games. When a cherry came on screen, the AI chose to pursue a blue ghost over the cherry and the AI crossed quite close to a normal ghost exiting the center to pursue a blue ghost.",2.0,"The AI seemed to be most interested in power pills and cherries. They weren't too concerned about ghost placement and didn't seem to alter behavior when the ghosts were blue. They did, however, clearly want to get to the cherries, but didn't seem able to navigate the maze effectively. ",0.0,0.0,1.0,0.0,0.0,1.0,4.0,"There was little self-preservation going on in the form of ghost avoidance. They didn't seem to target blue ghosts at all, or even really pay attention to the ghosts. When the cherry came onto the screen, though, they immediately turned to face it. ",4.0,2.0,2.0,4.0,,,It would be interesting to see longer clips of the AI's playing.,1.0,1.0,1.0,5.0,"Player A seems more able to avoid being eaten, even at the expense of higher point actions. I would think that the longevity of this player's pacmen would allow for greater point accumulation. ",1.0,1.0,2.0,3.0,"Plater B seems slightly better at navigating and ghost avoidance, so i would hope this would lead to longer game times and higher point accumulation. ",1.0,1.0,2.0,4.0,"Player B is less focused on the cherries, which do not occur frequently enough to be meaningful. They also seem more interested in eating blue ghosts, which could equal a great total score overall. ",4.0,2.0,2.0,5.0,,,,30.0,159ea227d,1458.16,69.2,211.55,175.5,196.88,132.27,92.49,105.65,0.0,1.0,0.0,0.0,0.5,0.0,1,1,0
41,138,17,1577044212,5.0,1.0,,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0,4.0,1,1,2.0,He is eating the regular dots.,0.0,1.0,0.0,0.0,0.0,0.0,6.0,Because the video shows pac man only eating regular dots.,1.0,"What? I don't see a sensible, coherent strategy. Pac man is spinning his wheels, back and forth. ",0.0,1.0,0.0,0.0,0.0,0.0,1.0,Pac man is doing nothing.,1.0,He is eating power pills to eat the resulting blue ghosts.,0.0,0.0,1.0,0.0,1.0,0.0,5.0,"In every snippet, it shows pac man eating a power pill then gobbling up the blue ghosts.",3.0,2.0,4.0,2.0,,,,2.0,1.0,2.0,5.0,B is at least earring blue ghosts.,1.0,1.0,1.0,5.0,"Look, neither are good pac man players, but A has eaten the most dots and power pellets.",1.0,1.0,2.0,5.0,B has eaten the most dots to get to the next level at least.,2.0,2.0,3.0,3.0,,,,30.0,237ea227d,1475.03,73.35,159.59,127.88,219.49,109.29,239.73,108.61,0.0,1.0,-0.5,0.0,-0.5,0.0,1,0,1
42,139,17,226326109,5.0,1.0,,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4.0,2,4,2.0,Earning points by eating,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Each portion of the video was different. Earning points by eating in all but one. The one without eating was pacman turning back an forth.,3.0,To keep moving and not stay in one place.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Every piece of video was completely different. I do not see a clear strategy on this video.,2.0,Eating the power pills.,0.0,0.0,1.0,0.0,0.0,0.0,7.0,That is what each portion of the video showed me... pacman eating the power pills,4.0,1.0,3.0,,2.0,2.0,,1.0,1.0,1.0,7.0,All B was doing was eating power pills and turning around. Not a good strategy,1.0,2.0,1.0,7.0,B died in one of the parts. I dont like to die,1.0,1.0,2.0,6.0,B seemed to be moving through the maze better,3.0,3.0,2.0,,3.0,1.0,,30.0,99ea227d,1401.36,68.4,176.41,446.51,132.29,115.68,88.78,73.14,1.0,1.0,0.5,1.0,1.0,0.0,1,1,1
43,140,17,2089098343,3.0,1.0,,0.0,2.0,0.0,,,,,,,3.0,8,2,1.0,The agent took a more aggressive approach by using the power pill to eat the ghosts. The agent tried to keep the ghosts closer to pacman so that when the pill was consumed it would be easier to catch the ghosts.,1.0,0.0,1.0,0.0,1.0,0.0,4.0,The agent wasn't just trying to eat normal pills or avoid ghosts. The agent used the power pill and then went directly for the ghosts.,1.0,"The agent used the power pill to avoid the ghosts and eat more pills, but also to lure them to another power pill so it could eat the ghosts after consuming it.",0.0,1.0,1.0,0.0,1.0,0.0,4.0,"I watched the video of the agent avoiding the ghosts by eating the power pill, and then navigating to another power pill to give the agent more time to consume ghosts.",1.0,The agent directly tried to avoid the ghosts and stay farther away from them by consuming the power pill. The agent was keeping it's distance from the ghosts by using the power pill.,1.0,0.0,1.0,1.0,0.0,0.0,4.0,I watched the video where the agent did not try to aggressively chase the ghosts after using the power pill. The agent was avoiding the ghosts by using the power pill. The agent was concerned with just staying alive.,2.0,2.0,3.0,2.0,,,,1.0,1.0,1.0,6.0,"Player A was more aggressive in consuming the ghosts after eating a power pill. Player B played very passively, and safely, using the power pill to only avoid the ghosts.",1.0,1.0,1.0,5.0,"Player A was focused on consuming ghosts, but also persevering the lives he had. Player B was also very aggressive, but so much so that they died trying to eat the ghosts.",1.0,1.0,2.0,7.0,"Player B was actively seeking to consume ghosts in order to increase their score. Play A was more passive and was playing to not die. Player A will survive longer, but will have a much lower score than player b in the end.",4.0,3.0,2.0,5.0,,,,40.0,157ca227d,872.92,35.87,112.53,134.11,109.82,75.74,95.84,115.79,1.0,1.0,1.5,1.0,0.0,0.0,1,1,1
44,141,17,789380701,3.0,1.0,,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0,5.0,8,3,1.0,"Play regular strategy, collect pills",1.0,1.0,0.0,0.0,0.0,0.0,4.0,In the video it valued pills over everything except it's own life.,2.0,"It values blue ghosts over everything, power pills second and it's own mortality third.",1.0,0.0,1.0,0.0,1.0,0.0,6.0,"It played pac man irregularly only when there were blue ghosts, otherwise it focused on pills and staying alive.",5.0,The strategy was to prioritize Cherries ahead of power pills and power pills ahead of regular pills.,1.0,0.0,1.0,0.0,0.0,1.0,7.0,The AI went haywire once the cherry appeared and tried to get to it through walls.,3.0,2.0,5.0,,3.0,2.0,,1.0,1.0,1.0,7.0,"Player a is more focused than Player B AKA ""Cherryhunter"". It actually plays the game to collect points.",1.0,1.0,1.0,5.0,Player A is the one hungry for blue ghosts. Player B is the one hungry for pills. I prefer gambling on the risk taking of player A,2.0,1.0,2.0,7.0,"Player A is the one that couldn't focus on anything other than cherries, including solid objects.",5.0,3.0,4.0,,3.0,2.0,,40.0,124fa227d,703.19,51.12,71.95,108.96,137.35,65.7,50.58,61.58,1.0,1.0,0.5,0.0,1.5,0.0,1,1,1
45,142,17,1326821841,2.0,2.0,,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2.0,2,2,1.0,Eat as many of the little pills as pacman can before coming into contact with the ghost.,1.0,1.0,0.0,1.0,0.0,0.0,1.0,The Ai agent is playing the game how any normal person would. ,3.0,The strategy is to eat the power pills to keep the ghost blue so pacman can eat them along with the regular pills. ,0.0,0.0,1.0,0.0,0.0,0.0,2.0,In the video the whole time the ghost are blue and pacman is eating them.,1.0,The strategy is to work from the outside to the inside and avoid the ghost.,1.0,1.0,0.0,1.0,0.0,0.0,2.0,Pacman is eating the small pills from the outside and is avoiding the ghost.,2.0,1.0,5.0,1.0,,,,2.0,1.0,1.0,4.0,Agent A seems to make more progress in the game than Agent B.,1.0,1.0,2.0,4.0,Agent B seems to make more progress during game play than Agent A.,1.0,1.0,2.0,3.0,Agent B seems to have a better strategy ,3.0,2.0,4.0,3.0,,,,30.0,89aa227d,986.2,27.01,124.41,237.02,113.17,140.56,69.84,88.78,-1.0,0.0,0.0,0.0,-0.5,0.0,1,1,0
47,144,17,235688020,4.0,1.0,,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0,4.0,3,3,2.0,The AI is actively trying to get all the pills as its primary goal. It doesnt seem as concerned with the ghosts,1.0,1.0,0.0,1.0,0.0,0.0,6.0,the PACMAN is scanning all areas where pills are located as areas of interest,1.0,the AI seems to be avoiding the ghosts as more important then getting the pills.,1.0,1.0,0.0,1.0,0.0,0.0,6.0,"the pacman actively avoids the ghosts and ""hides"" instead of trying to get pills",3.0,the agent seems to be chasing pills as directly as possible while avoid ghosts. Although some seems random without much direction,1.0,1.0,0.0,1.0,0.0,0.0,5.0,these were the only items that appeared in the example. ,4.0,2.0,4.0,,3.0,4.0,sometimes snippets showed pacman doing nothing or not present,1.0,1.0,1.0,5.0,PACMAN B seems to make a couple of poor decisions and heads directly to the ghosts,1.0,1.0,1.0,6.0,PACMAN A seems to hide a bit more from the ghosts and will probably live longer with this method,1.0,1.0,2.0,6.0,PACMAN B seems to take a few more precautions then PACMAN A,4.0,2.0,4.0,,5.0,4.0,,50.0,85da227e,1409.19,65.94,150.52,130.27,339.08,117.27,109.22,83.12,-1.0,0.0,0.0,0.0,1.5,1.0,1,1,1
49,146,17,50717169,4.0,1.0,,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0,5.0,5,4,1.0,The agent prioritized eating ghosts. ,1.0,0.0,0.0,0.0,1.0,0.0,7.0,By watching the agent eat a ghost in every clip. ,2.0,The agent was trying to clear as many pills as possible. ,1.0,1.0,0.0,0.0,0.0,0.0,6.0,The heat maps showed the agent following paths conducive to eating large portions of pills.,4.0,"The AI agent's strategy was to consume all of the power pills that it could get to, thereby keeping the ghosts blue.",1.0,0.0,1.0,0.0,1.0,0.0,6.0,By watching the agent eat the power pills in each section of the video. ,4.0,4.0,2.0,,4.0,3.0,,1.0,1.0,1.0,5.0,Agent A's strategy seemed a little better and its movement was smoother. ,1.0,1.0,1.0,6.0,I chose A because it looked like it had a better strategy to clear the pills and keep the ghosts at bay at the same time. ,1.0,1.0,2.0,7.0,Agent B looked more fluid in its moves and was doing a better job of clearing pills. ,4.0,4.0,2.0,,4.0,2.0,,40.0,126ba227d,950.59,54.55,88.58,212.89,217.92,44.67,88.04,48.84,1.0,1.0,2.0,1.0,0.5,0.0,1,1,1
50,147,17,2023067297,3.0,1.0,,0.0,4.0,0.0,,,,,,,5.0,3,1,14.0,"I think its using power pills more effectively and focusing on eating the sides and the ghosts, a simple strategy of eating power pills and then eating the ghosts.",1.0,0.0,1.0,0.0,1.0,0.0,5.0,at 0:13 it has already eating 3 out of 4 power pills and its looking to head in the direction of the 4th one.  ,5.0,"The strategy here is pacman waiting on their moves and using walls to his advantage, it reacts to ghost movement and uses walls to stop his movements as needed. ",1.0,0.0,1.0,1.0,0.0,0.0,2.0,I saw pacman make several stop and use the walls to its advance.  ,2.0,The strategy is to simply use their number advantage to catch pacman.,1.0,0.0,1.0,1.0,0.0,0.0,5.0,"I believe Pacman, the ghosts and the power pills are the influencing factors that determine AI movement, pacman is like a magnet, the ghosts are trying to get close to that magnet and when pacman eats a power pill the ghosts try to run away, based on this model you can build a very similar game with only these 3 components so I think they are the most important. ",3.0,3.0,5.0,3.0,,,Nothing in particular. ,1.0,1.0,1.0,5.0,"Player A seemed more methodical and used the tunnels to appear on the other side, there was also a point when Player B went right into the ghosts so this made me doubt its ability quite a bit. ",2.0,3.0,1.0,3.0,"Agent A just seems better, its hard to really tell but Agent A is following my proffered strategy of holding walls. ",4.0,9.0,2.0,4.0,"I like Player B because it seems to use walls more often, this is how I play pacman, I wait for their movements and then react, not just aimlessly moving around. ",3.0,2.0,4.0,3.0,,,,50.0,211da227e,1860.09,35.72,437.1,287.17,286.1,116.36,223.19,214.99,1.0,1.0,1.5,1.0,1.5,1.0,1,1,1
51,148,17,1163374281,3.0,1.0,,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3.0,2,1,3.0,The AI seems to be avoiding ghosts. Lurking in corners etc. until they pass.,1.0,1.0,0.0,1.0,0.0,0.0,5.0,"Mostly ghosts and pac man himself, but the AI was also collecting smaller dots too.",2.0,"He's focused on kiting away from ghosts, but he also heads to a power pill when it appears. So it's a hybrid strategy of avoiding and waiting for power pills.",1.0,0.0,1.0,1.0,0.0,0.0,7.0,"I just watched the actions of the AI in the video. He wasn't focused on eating little pills, only on making sure he was avoiding the ghosts and heading to a large pill when it appeared.",1.0,This AI was focused on eating pills as well as power pills to turn the ghosts blue.,1.0,0.0,1.0,1.0,0.0,0.0,7.0,"This was pretty obvious. He was playing the game the standard way, collecting pills and big pills.",2.0,2.0,5.0,2.0,,,"Not enough clips were shown, and they were way too short.",1.0,1.0,2.0,7.0,No contest. Player A plays it too safe and even makes a mistake by heading right into a ghost.,1.0,1.0,1.0,7.0,"Both are highly inconsistent and sub-optimal, but at least Player A focuses heavily on collecting pills.",2.0,1.0,1.0,7.0,Player A stays moving and cleanly collects pills. Player B stalls too much.,2.0,2.0,5.0,2.0,,,"Same videos, same comments.",30.0,252ba227d,849.18,292.24,112.03,94.8,52.97,38.85,43.05,48.62,1.0,1.0,0.0,0.0,1.5,1.0,0,0,1
